Original item no,Original recommendation,Adapted item no,Adapted question (bold words are added)
1,(a) Indicate the study’s design with a commonly used term in the title or the abstract,1_a,"Indicate the study’s design as cross-sectional, cohort or case-control in the title or the abstract"
1,(b) Provide in the abstract an informative and balanced summary of what was done and what was found,1_b_i,Provide in the abstract an informative and balanced summary of what was done
1,,1_b_ii,Provide in the abstract an informative and balanced summary of what was found
2,Explain the scientific background and rationale for the investigation being reported,2_i,Explain the scientific background for the investigation being reported
2,,2_ii,Explain the rationale for the investigation being reported
3,"State specific objectives, including any prespecified hypotheses",3,
4,Present key elements of study design early in the paper,4,
5,"Describe the setting, locations, and relevant dates, including periods of recruitment, exposure, follow-up, and data collection",5_i,Describe the setting
5,,5_ii,Describe the locations
5,,5_iii,"Describe the relevant dates, including periods of recruitment"
5,,5_iv,"Describe the relevant dates, including periods of exposure"
5,,5_v,"Describe the relevant dates, including periods of follow-up"
5,,5_vi,"Describe the relevant dates, including periods of data collection"
6,"(a) Cohort study—Give the eligibility criteria, and the sources and methods of selection of participants. Describe methods of follow-up. Case-control study—Give the eligibility criteria, and the sources and methods of case ascertainment and control selection. Give the rationale for the choice of cases and controls. Cross-sectional study—Give the eligibility criteria, and the sources and methods of selection of participants",6_a_i_coh_cs,Cohort and cross-sectional studies – Give the eligibility criteria
6,,6_a_ii_coh_cs,Cohort and cross-sectional studies – Give the sources of participants.
6,,6_a_iii_coh_cs,Cohort and cross-sectional studies – Give the methods of selection of participants
6,,6_a_iv_coh,Cohort study - Describe methods of follow-up
6,,6_a_i_cc,Case-control study - Give the eligibility criteria
6,,6_a_ii_cc,Case-control study – Give the sources of case ascertainment and control selection
6,,6_a_iii_cc,Case-control study – Give the methods of case ascertainment and control selection.
6,,6_a_iv_cc,Case-control study – Give the rationale for the choice of cases and controls
6,"(b) Cohort study—For matched studies, give matching criteria and number of exposed and unexposed. Case-control study—For matched studies, give matching criteria and the number of controls per case",6_b_i_coh,"Cohort study - For matched studies, give matching criteria"
6,,6_b_ii_coh,"Cohort study - For matched studies, give number of exposed and unexposed"
6,,6_b_i_cc,"Case-control study - For matched studies, give matching criteria"
6,,6_b_ii_cc,"Case-control study - For matched studies, give the number of controls per case"
7,"Clearly define all outcomes, exposures, predictors, potential confounders, and effect modifiers. Give diagnostic criteria, if applicable",7_i,Clearly define all outcomes
7,,7_ii,Clearly define all exposures
7,,7_iii,Clearly define all predictors
7,,7_iv,Clearly define all potential confounders
7,,7_v,Clearly define all effect modifiers
7,,7_vi,"Give diagnostic criteria, if applicable"
8*,"For each variable of interest, give sources of data and details of methods of assessment (measurement). Describe comparability of assessment methods if there is more than one group",8starred_i,"For each variable of interest, give sources of data"
8*,"* Give information separately for cases and controls in case-control studies and, if applicable, for exposed and unexposed groups in cohort and cross-sectional studies.",8_star_i_cc,Case-control studies - Give information separately for cases and controls
8*,,8_star_i_coh_cs,Cohort and cross-sectional studies - Give information separately for exposed and unexposed groups
8*,,8starred_ii,"For each variable of interest, give details of methods of assessment (measurement)"
8*,,8_star_ii_cc,Case-control studies - Give information separately for cases and controls
8*,,8_star_ii_coh_cs,Cohort and cross-sectional studies - Give information separately for exposed and unexposed groups
8*,,8starred_iii,Describe comparability of assessment methods if there is more than one group
8*,,8_star_iii_cc,Case-control studies - Give information separately for cases and controls
8*,,8_star_iii_coh_cs,Cohort and cross-sectional studies - Give information separately for exposed and unexposed groups
9,Describe any efforts to address potential sources of bias,9,9. Describe any efforts to address potential sources of bias (does not include any adjustment for confounders)
10,Explain how the study size was arrived at,10,
11,"Explain how quantitative variables were handled in the analyses. If applicable, describe which groupings were chosen and why",11_i,Explain how quantitative variables were handled in the analyses
11,,11_ii,"If applicable, describe which groupings were chosen and why"
11,,11_iii,"If applicable, describe why groupings were chosen "
12,"(a) Describe all statistical methods, including those used to control for confounding",12_a,
12,(b) Describe any methods used to examine subgroups and interactions,12_b_i,Describe any methods used to examine subgroups
12,,12_b_ii,Describe any methods used to examine interactions
12,(c) Explain how missing data were addressed,12_c,
